"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"09/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Estadual ou do Distrito Federal";"PB";"JOÃO PESSOA";"R$ 1.352,46";
"06/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"DONA INÊS";"R$ 11.525,20";
"12/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"POMBAL";"R$ 20.255,91";
"12/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"BARRA DE SANTA ROSA";"R$ 45.948,96";
"01/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"CABACEIRAS";"R$ 47.880,00";
"05/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"JOCA CLAUDINO";"R$ 65.694,62";
"10/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"BERNARDINO BATISTA";"R$ 70.042,87";
"01/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"PIANCÓ";"R$ 99.997,00";
"08/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"MATURÉIA";"R$ 113.105,68";
"02/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"ALAGOINHA";"R$ 217.260,71";
"08/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"JOÃO PESSOA";"R$ 286.049,77";
"02/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Estadual ou do Distrito Federal";"PB";"JOÃO PESSOA";"R$ 495.490,94";
"04/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"JOÃO PESSOA";"R$ 572.099,53";
"04/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Estadual ou do Distrito Federal";"PB";"JOÃO PESSOA";"R$ 596.567,05";
"07/2016";"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"PB";"JOÃO PESSOA";"R$ 1.230.014,01";
