"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 2.790,98";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 2.790,98";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"PARARI";"R$ 4.069,76";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"PARARI";"R$ 4.069,76";
"05/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 5.528,69";
"06/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 5.585,64";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 5.873,39";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 5.873,39";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"MATO GROSSO";"R$ 6.234,40";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"MATO GROSSO";"R$ 6.234,40";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 6.248,90";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 6.248,90";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE PRINCESA";"R$ 6.700,54";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE PRINCESA";"R$ 6.700,54";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 7.076,77";
"08/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 7.076,77";
"05/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"PARARI";"R$ 7.145,94";
"07/2016";"Constitucionais e Royalties";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"FUNDEB";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 7.239,16";
