"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"03/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"MANAÍRA";"R$ 4.000,00";
"07/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"ITAPORANGA";"R$ 9.900,00";
"02/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"SANTANA DOS GARROTES";"R$ 9.900,00";
"03/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"NOVA FLORESTA";"R$ 15.000,00";
"01/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"SANTANA DOS GARROTES";"R$ 15.000,00";
"03/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"GADO BRAVO";"R$ 15.000,00";
"03/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"DESTERRO";"R$ 15.000,00";
"04/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"SANTANA DOS GARROTES";"R$ 139.000,00";
"06/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"GADO BRAVO";"R$ 196.500,00";
"04/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"DESTERRO";"R$ 196.500,00";
"06/2016";"Legais, Voluntárias e Específicas";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"Sem informação";"Administração Pública Municipal";"PB";"NOVA FLORESTA";"R$ 196.500,00";
