"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO MAMEDE";"R$ 1.000,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 1.092,65";
"01/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"PITIMBU";"R$ 2.410,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 2.442,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"AGUIAR";"R$ 3.108,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DO BREJO DO CRUZ";"R$ 3.119,70";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CABACEIRAS";"R$ 4.161,59";
"03/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE PIRANHAS";"R$ 5.550,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"BOA VENTURA";"R$ 6.551,37";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"ASSUNÇÃO";"R$ 7.979,86";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SANTANA DE MANGUEIRA";"R$ 9.324,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SUMÉ";"R$ 10.921,38";
"07/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"ASSUNÇÃO";"R$ 14.460,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SERRA GRANDE";"R$ 14.740,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"JURIPIRANGA";"R$ 17.409,14";
"06/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SANTA LUZIA";"R$ 17.547,12";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DO SABUGI";"R$ 18.032,40";
"01/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"PEDRA LAVRADA";"R$ 18.798,58";
"01/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 19.379,66";
"06/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CACHOEIRA DOS ÍNDIOS";"R$ 20.255,91";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"DONA INÊS";"R$ 20.255,91";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE PIRANHAS";"R$ 20.255,91";
"03/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CONDADO";"R$ 20.255,91";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE ESPINHARAS";"R$ 20.255,91";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO SEBASTIÃO DE LAGOA DE ROÇA";"R$ 20.400,00";
"02/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 21.690,00";
"10/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"JACARAÚ";"R$ 23.516,79";
"10/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO SEBASTIÃO DE LAGOA DE ROÇA";"R$ 25.500,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"RIACHO DE SANTO ANTÔNIO";"R$ 25.500,00";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CATOLÉ DO ROCHA";"R$ 25.719,16";
"06/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"MATURÉIA";"R$ 28.276,42";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"BERNARDINO BATISTA";"R$ 30.018,37";
"10/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"GADO BRAVO";"R$ 30.432,89";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"GADO BRAVO";"R$ 30.432,89";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CUITÉ DE MAMANGUAPE";"R$ 30.511,28";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"TAVARES";"R$ 30.521,25";
"06/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SERRA DA RAIZ";"R$ 30.618,32";
"08/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"REMÍGIO";"R$ 30.618,32";
"05/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"GURINHÉM";"R$ 30.643,44";
"09/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"GURINHÉM";"R$ 30.643,44";
"02/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"CAPIM";"R$ 33.740,00";
"09/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"PICUÍ";"R$ 37.678,08";
"08/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE ESPINHARAS";"R$ 38.584,17";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"SANTANA DOS GARROTES";"R$ 40.262,75";
"06/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"MARI";"R$ 41.926,59";
"12/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"PICUÍ";"R$ 43.804,05";
"10/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"PEDRA LAVRADA";"R$ 46.903,16";
"08/2016";"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"PB";"JACARAÚ";"R$ 47.033,58";
