"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"DONA INÊS";"R$ 9.132,90";
"10/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"PRINCESA ISABEL";"R$ 13.177,22";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CABEDELO";"R$ 18.996,43";
"09/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"PRINCESA ISABEL";"R$ 49.115,10";
"12/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"VIEIRÓPOLIS";"R$ 58.866,25";
"08/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CUITEGI";"R$ 97.751,02";
"09/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CUITEGI";"R$ 123.817,98";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"POMBAL";"R$ 126.772,91";
"08/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CABEDELO";"R$ 161.960,07";
"05/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"POMBAL";"R$ 195.225,69";
"08/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CAMPINA GRANDE";"R$ 216.777,32";
"08/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS RAMOS";"R$ 225.210,68";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CUITÉ";"R$ 237.699,20";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"PILAR";"R$ 292.252,80";
"09/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CAMPINA GRANDE";"R$ 391.195,84";
"03/2017";"Legais, Voluntárias e Específicas";"00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"PB";"CAMPINA GRANDE";"R$ 638.754,89";
