"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"CURRAL DE CIMA";"-R$ 15.704,40";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"BORBOREMA";"-R$ 384,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"MATINHAS";"R$ 284,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"NATUBA";"R$ 1.022,40";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 1.584,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 2.152,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 2.152,00";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"COXIXOLA";"R$ 2.152,00";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"MATO GROSSO";"R$ 3.153,20";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DE PRINCESA";"R$ 3.264,20";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 3.863,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 3.863,00";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 3.863,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"QUIXABÁ";"R$ 3.863,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 3.868,40";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 3.868,40";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 3.868,40";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS CORDEIROS";"R$ 3.868,40";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"PARARI";"R$ 3.890,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"PARARI";"R$ 3.890,00";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"PARARI";"R$ 3.890,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"PARARI";"R$ 3.890,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO MIGUEL DE TAIPU";"R$ 3.890,80";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AMPARO";"R$ 3.960,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AMPARO";"R$ 3.960,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AMPARO";"R$ 3.960,00";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AMPARO";"R$ 3.960,00";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 3.989,40";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 3.989,40";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 3.989,40";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 3.989,40";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"FREI MARTINHO";"R$ 3.993,20";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"TACIMA";"R$ 4.146,40";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VISTA SERRANA";"R$ 4.283,60";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VISTA SERRANA";"R$ 4.283,60";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VISTA SERRANA";"R$ 4.283,60";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VISTA SERRANA";"R$ 4.283,60";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"CACIMBA DE AREIA";"R$ 4.489,40";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"CACIMBA DE AREIA";"R$ 4.489,40";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"CACIMBA DE AREIA";"R$ 4.489,40";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"CACIMBA DE AREIA";"R$ 4.489,40";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 4.497,00";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 4.497,00";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 4.497,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 4.497,00";
"11/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VÁRZEA";"R$ 4.500,20";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VÁRZEA";"R$ 4.500,20";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VÁRZEA";"R$ 4.500,20";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"VÁRZEA";"R$ 4.500,20";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SANTO ANDRÉ";"R$ 4.712,20";
"12/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DO BREJO DO CRUZ";"R$ 4.830,40";
"10/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"RIACHO DE SANTO ANTÔNIO";"R$ 4.866,00";
"09/2017";"Legais, Voluntárias e Específicas";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"Sem informação";"Administração Pública Municipal";"PB";"RIACHO DE SANTO ANTÔNIO";"R$ 4.866,00";
