"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"09/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"BORBOREMA";"-R$ 10.670,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"SERRARIA";"-R$ 8.470,00";
"07/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"JOÃO PESSOA";"R$ 0,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"RIACHÃO";"R$ 240,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"PEDRA LAVRADA";"R$ 240,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"SANTO ANDRÉ";"R$ 270,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"NOVA OLINDA";"R$ 360,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"SERRA GRANDE";"R$ 480,00";
"11/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"CUITEGI";"R$ 495,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"SANTA RITA";"R$ 520,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"BREJO DOS SANTOS";"R$ 530,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"ITAPORANGA";"R$ 540,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"JACARAÚ";"R$ 540,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"LAGOA DE DENTRO";"R$ 550,00";
"09/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"CASSERENGUE";"R$ 600,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"PEDRA BRANCA";"R$ 600,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"CASSERENGUE";"R$ 600,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"BORBOREMA";"R$ 660,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"FAGUNDES";"R$ 750,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"JOCA CLAUDINO";"R$ 750,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"JURIPIRANGA";"R$ 810,00";
