"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"08/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"RIACHO DOS CAVALOS";"R$ 0,00";
"08/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"NOVA FLORESTA";"R$ 0,00";
"08/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 534,06";
"07/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"SÃO DOMINGOS DO CARIRI";"R$ 534,06";
"09/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"MARIZÓPOLIS";"R$ 559,60";
"10/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"MARIZÓPOLIS";"R$ 559,60";
"08/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"MARIZÓPOLIS";"R$ 559,60";
"07/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"MARIZÓPOLIS";"R$ 559,60";
"09/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"BAYEUX";"R$ 573,85";
"07/2017";"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"PB";"BAYEUX";"R$ 573,85";
