"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"08/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"CAMPINA GRANDE";"R$ 9.108,42";
"08/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"CAJAZEIRINHAS";"R$ 15.270,13";
"10/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOSÉ DOS RAMOS";"R$ 15.290,95";
"07/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"NOVA OLINDA";"R$ 15.291,37";
"03/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOÃO DO RIO DO PEIXE";"R$ 15.293,74";
"05/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"JUNCO DO SERIDÓ";"R$ 15.298,82";
"03/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"CALDAS BRANDÃO";"R$ 15.299,36";
"07/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"SERRARIA";"R$ 15.300,00";
"10/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"NATUBA";"R$ 15.300,00";
"07/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"NATUBA";"R$ 15.300,00";
"08/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"MONTEIRO";"R$ 16.940,76";
"05/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"EMAS";"R$ 20.388,50";
"08/2017";"Legais, Voluntárias e Específicas";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"Sem informação";"Administração Pública Municipal";"PB";"SÃO JOÃO DO RIO DO PEIXE";"R$ 20.391,66";
