,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,56,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 6.111,80"
1,198,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.459,20"
2,342,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.459,20"
3,343,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.459,20"
4,344,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.459,20"
5,345,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.459,20"
6,109,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 6.111,80"
7,305,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 10.755,20"
8,352,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.175,20"
9,353,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALGODÃO DE JANDAÍRA,"R$ 12.175,20"
10,95,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 3.710,00"
11,106,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 4.068,00"
12,140,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.880,00"
13,42,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 1.250,00"
14,205,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 3.710,00"
15,377,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 9.920,00"
16,664,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 41.734,00"
17,325,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
18,326,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
19,327,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
20,328,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
21,335,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
22,336,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
23,337,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
24,338,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
25,168,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,73"
26,169,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 5.333,75"
27,99,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 83.231,58"
28,159,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 99.912,37"
29,178,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 103.603,87"
30,277,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 132.509,87"
31,105,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 80.562,67"
32,152,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 91.583,82"
33,206,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 104.651,98"
34,245,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 113.602,36"
35,115,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 76.883,67"
36,150,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 86.866,66"
37,170,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 89.871,28"
38,286,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 119.533,17"
39,87,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 14.052,77"
40,88,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 14.052,77"
41,420,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 54.574,64"
42,131,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 14.052,77"
43,132,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 14.052,77"
44,133,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 14.052,77"
45,484,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 34.263,84"
46,48,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 7.595,00"
47,151,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 13.350,13"
48,359,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALGODÃO DE JANDAÍRA,"R$ 30.213,45"
49,27,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,ALGODÃO DE JANDAÍRA,"R$ 20.255,91"
