,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,333,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 29.344,00"
1,235,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 9.627,60"
2,55,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 2.060,00"
3,192,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 10.020,00"
4,286,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 18.630,00"
5,419,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 42.000,00"
6,107,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 2.060,00"
7,121,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 2.280,00"
8,717,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 59.430,00"
9,761,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 81.741,00"
10,786,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 97.450,00"
11,719,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.346,45"
12,720,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.346,45"
13,721,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.346,45"
14,722,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.346,45"
15,733,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.346,45"
16,733,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 403.314,75"
17,776,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 484.144,83"
18,783,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 502.033,48"
19,821,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 642.102,25"
20,743,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 390.381,92"
21,775,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 443.787,12"
22,798,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 507.111,47"
23,809,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 550.482,18"
24,741,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 372.554,68"
