,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,231,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
1,232,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
2,400,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
3,401,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
4,402,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
5,403,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
6,429,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 15.189,80"
7,495,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.745,80"
8,496,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.745,80"
9,639,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 30.525,80"
10,302,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 20.250,00"
11,346,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 25.560,00"
12,330,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 7.710,00"
13,393,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 10.640,00"
14,479,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 17.040,00"
15,697,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 52.757,00"
16,393,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
17,394,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
18,395,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
19,396,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
20,402,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
21,403,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
22,404,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
23,405,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
24,202,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,24"
25,203,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.159,27"
26,478,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 210.596,17"
27,560,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 252.802,64"
28,577,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 262.141,54"
29,679,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 335.282,19"
30,491,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 203.843,11"
31,546,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 231.729,31"
32,611,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 264.794,97"
33,643,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 287.441,54"
34,492,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 194.534,36"
35,555,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 219.793,73"
36,566,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 227.396,21"
37,680,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 302.447,96"
