,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,200,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 12.620,40"
1,260,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
2,467,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
3,468,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
4,469,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
5,470,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
6,362,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 12.620,40"
7,484,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
8,485,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
9,486,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIAL,"R$ 17.164,40"
10,156,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 7.164,00"
11,307,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 21.070,00"
12,312,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 6.910,00"
13,571,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 26.496,00"
14,580,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIAL,"R$ 27.980,00"
15,435,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
16,436,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
17,437,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
18,438,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
19,442,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
20,443,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
21,444,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
22,445,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
23,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
24,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AREIAL,"R$ 6.748,58"
25,376,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 167.595,77"
26,460,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 201.184,38"
27,473,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 208.614,85"
28,587,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 266.822,95"
29,399,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 162.221,58"
30,444,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 184.413,90"
31,507,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 210.728,09"
32,545,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 228.750,60"
33,398,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 154.813,56"
34,443,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 174.915,39"
35,463,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 180.965,55"
36,591,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 240.692,89"
37,235,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIAL,"R$ 28.296,77"
