,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,332,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 28.009,60"
1,336,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.352,60"
2,608,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.352,60"
3,609,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.352,60"
4,610,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.352,60"
5,611,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.352,60"
6,629,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 28.009,60"
7,634,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 29.926,60"
8,635,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.281,60"
9,636,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 30.281,60"
10,187,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 9.620,00"
11,197,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 10.350,00"
12,211,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 11.190,00"
13,224,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 12.600,00"
14,201,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 3.580,00"
15,428,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 12.600,00"
16,452,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 15.190,00"
17,555,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 24.468,00"
18,582,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 28.390,00"
19,748,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,14"
20,749,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,14"
21,750,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,14"
22,751,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,14"
23,763,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,14"
24,374,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 23.297,22"
25,739,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 411.020,70"
26,780,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 493.395,14"
27,788,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 511.615,65"
28,822,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 654.370,56"
29,745,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 397.840,77"
30,780,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 452.266,31"
31,802,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 516.800,62"
32,813,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 560.999,96"
33,747,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 379.672,90"
34,776,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 428.971,67"
35,781,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 443.809,37"
36,822,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 590.287,89"
37,464,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 69.396,48"
38,465,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 69.396,48"
39,637,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 257.728,24"
40,719,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 69.396,48"
41,720,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 69.396,48"
42,721,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 69.396,48"
43,847,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 153.959,91"
44,419,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 37.506,20"
45,538,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 65.926,65"
46,635,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 149.202,42"
47,23,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 20.255,91"
