,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,340,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 31.146,20"
1,384,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 47.944,80"
2,730,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 47.952,00"
3,731,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 47.952,00"
4,732,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 47.952,00"
5,733,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 47.966,40"
6,649,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 31.153,40"
7,724,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 41.136,00"
8,749,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 46.816,00"
9,750,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BANANEIRAS,"R$ 46.816,00"
10,97,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 3.750,00"
11,129,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 5.400,00"
12,259,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 16.749,00"
13,451,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 60.660,00"
14,266,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 5.400,00"
15,476,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 16.790,00"
16,532,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 22.280,00"
17,765,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 82.940,00"
18,818,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 167.199,00"
19,760,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
20,761,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
21,762,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
22,763,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
23,775,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
24,776,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
25,777,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
26,778,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
27,379,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,60"
28,380,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BANANEIRAS,"R$ 29.031,62"
29,757,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 444.521,43"
30,796,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 533.609,90"
31,800,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 553.314,11"
32,828,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 707.705,80"
33,770,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 430.267,29"
34,794,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 489.128,81"
35,812,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 558.923,06"
36,822,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 606.724,92"
37,766,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 410.618,57"
38,792,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 463.935,53"
39,798,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 479.982,60"
40,828,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 638.400,04"
41,484,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 75.052,72"
42,485,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 75.052,72"
43,641,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 276.961,66"
44,739,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 75.052,72"
45,740,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 75.052,72"
46,741,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 75.052,72"
47,851,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 164.213,45"
48,436,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 40.563,18"
49,554,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 71.300,09"
50,639,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BANANEIRAS,"R$ 161.363,36"
51,2,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,BANANEIRAS,"R$ 168.000,00"
52,34,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,BANANEIRAS,"R$ 30.582,80"
53,26,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 20.255,91"
54,44,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 24.415,41"
55,112,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,BANANEIRAS,"R$ 138.353,96"
