,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,254,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 16.171,20"
1,265,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.534,40"
2,1,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 1.363,20"
3,477,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.534,40"
4,478,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.534,40"
5,642,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 33.705,60"
6,472,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 16.171,20"
7,490,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.278,80"
8,491,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.491,80"
9,492,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BELÉM DO BREJO DO CRUZ,"R$ 17.491,80"
10,80,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.120,00"
11,296,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 19.180,00"
12,325,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 25.200,00"
13,94,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 1.850,00"
14,169,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.120,00"
15,275,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 5.790,00"
16,556,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 24.564,00"
17,692,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 51.770,00"
18,218,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
19,219,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
20,220,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
21,221,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
22,226,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
23,227,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
24,228,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
25,229,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BELÉM DO BREJO DO CRUZ,"R$ 3.689,41"
