,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,219,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 14.657,80"
1,244,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
2,428,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
3,429,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
4,430,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
5,431,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
6,406,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 14.657,80"
7,449,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
8,450,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
9,451,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VISTA,"R$ 15.694,40"
10,124,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 5.170,00"
11,258,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 16.668,00"
12,294,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 19.130,00"
13,194,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 3.470,00"
14,259,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 5.170,00"
15,478,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 16.992,00"
16,537,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VISTA,"R$ 22.600,00"
17,507,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
18,508,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
19,509,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
20,510,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
21,514,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
22,515,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
23,516,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
24,517,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
25,257,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,06"
26,258,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VISTA,"R$ 8.460,11"
27,398,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VISTA,"R$ 173.860,22"
28,474,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VISTA,"R$ 208.704,31"
29,489,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VISTA,"R$ 216.410,06"
