,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,215,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
1,216,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
2,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
3,371,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
4,372,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
5,373,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
6,393,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
7,394,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
8,395,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
9,396,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BONITO DE SANTA FÉ,"R$ 14.380,00"
10,247,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 4.776,00"
11,388,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 10.550,00"
12,389,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 10.550,00"
13,397,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
14,398,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
15,399,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
16,400,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
17,409,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
18,410,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
19,411,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
20,412,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
21,206,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,01"
22,207,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BONITO DE SANTA FÉ,"R$ 6.188,03"
23,424,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BONITO DE SANTA FÉ,"R$ 186.183,18"
24,508,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BONITO DE SANTA FÉ,"R$ 223.496,98"
25,521,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BONITO DE SANTA FÉ,"R$ 231.748,45"
26,619,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BONITO DE SANTA FÉ,"R$ 296.415,29"
