,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,169,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DO CRUZ,"R$ 10.934,00"
1,273,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DO CRUZ,"R$ 18.570,60"
2,816,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BREJO DO CRUZ,"R$ 242.991,80"
3,139,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 5.830,00"
4,318,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 23.250,00"
5,278,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 5.830,00"
6,343,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 8.150,00"
7,372,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 9.730,00"
8,668,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 43.610,00"
9,749,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BREJO DO CRUZ,"R$ 71.418,00"
10,257,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
11,258,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
12,259,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
13,260,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
14,263,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
15,264,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
16,265,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
17,266,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
18,131,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,51"
19,132,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BREJO DO CRUZ,"R$ 4.063,56"
20,599,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DO CRUZ,"R$ 274.091,47"
21,672,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DO CRUZ,"R$ 329.023,33"
22,684,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BREJO DO CRUZ,"R$ 341.170,61"
