,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,93,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 7.310,00"
1,211,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 14.055,00"
2,111,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 6.745,00"
3,148,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 7.310,00"
4,361,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 14.055,00"
5,362,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 14.055,00"
6,167,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 7.310,00"
7,380,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 13.984,00"
8,384,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 14.040,80"
9,385,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CABACEIRAS,"R$ 14.040,80"
10,221,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 12.160,00"
11,225,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 12.708,00"
12,228,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 4.320,00"
13,236,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 4.470,00"
14,472,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 16.480,00"
15,675,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CABACEIRAS,"R$ 45.474,00"
16,455,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.978,09"
17,456,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.978,09"
18,457,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.978,09"
19,458,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CABACEIRAS,"R$ 6.978,09"
