,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,184,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
1,185,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
2,318,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
3,319,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
4,320,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
5,321,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
6,341,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
7,342,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
8,343,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
9,344,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CACHOEIRA DOS ÍNDIOS,"R$ 11.752,60"
10,384,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACHOEIRA DOS ÍNDIOS,"R$ 10.260,00"
11,456,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACHOEIRA DOS ÍNDIOS,"R$ 15.560,00"
12,567,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CACHOEIRA DOS ÍNDIOS,"R$ 25.820,00"
