,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,85,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
1,86,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
2,131,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
3,132,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
4,133,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
5,134,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
6,154,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
7,155,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
8,156,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
9,157,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 7.071,00"
10,78,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 2.990,00"
11,69,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 1.610,00"
12,164,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 2.990,00"
13,192,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 3.450,00"
14,258,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.160,00"
15,382,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 10.220,00"
16,337,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
17,338,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
18,339,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
19,340,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
20,344,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
21,345,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
22,346,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
23,347,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
24,172,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,38"
25,173,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.361,42"
26,113,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 86.217,49"
27,176,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 103.496,73"
28,195,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 107.319,63"
29,295,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 137.263,66"
30,121,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 83.452,80"
31,170,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 94.869,38"
32,221,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAJAZEIRINHAS,"R$ 108.406,37"
