,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.027,40"
1,246,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
2,432,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
3,433,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
4,434,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
5,435,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
6,367,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.027,40"
7,454,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
8,455,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
9,456,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 15.839,00"
10,36,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 1.440,00"
11,228,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 12.840,00"
12,382,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 31.365,00"
13,56,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 1.440,00"
14,280,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 5.910,00"
15,502,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 18.750,00"
16,587,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 28.659,00"
17,147,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 2.861,09"
18,148,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 2.861,09"
