,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,10,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CAMPINA GRANDE,"R$ 216.777,32"
1,14,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CAMPINA GRANDE,"R$ 391.195,84"
2,15,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CAMPINA GRANDE,"R$ 638.754,89"
3,413,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 281.984,20"
4,414,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 333.246,20"
5,803,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 333.253,40"
6,804,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 333.253,40"
7,805,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 333.253,40"
8,806,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 333.267,80"
9,818,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 281.991,40"
10,821,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 329.419,40"
11,822,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.614,40"
12,823,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.614,40"
13,467,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 97.824,00"
14,473,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 134.400,00"
15,477,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 256.232,00"
16,463,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 16.028,00"
17,840,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 404.040,00"
18,843,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 755.411,00"
19,844,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 1.002.110,00"
20,772,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
21,773,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
22,774,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
23,775,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
24,786,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
25,787,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
26,788,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
27,789,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
28,385,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,16"
29,386,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.343,26"
30,884,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.607.365,38"
31,885,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.330.333,14"
32,886,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.490.227,27"
33,887,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 5.743.150,54"
34,884,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.491.690,46"
35,885,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.969.361,71"
36,886,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.535.753,63"
37,887,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.923.673,74"
38,884,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.332.238,13"
39,885,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.764.913,98"
40,886,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.895.138,60"
41,887,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 5.180.722,72"
42,659,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 609.065,34"
43,660,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 609.065,34"
44,667,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 2.235.438,17"
45,883,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 609.065,34"
46,884,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 609.065,34"
47,885,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 609.065,34"
48,890,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 1.316.889,15"
