,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,241,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
1,242,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
2,419,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
3,420,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
4,421,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
5,422,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
6,445,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
7,446,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
8,447,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
9,448,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CASSERENGUE,"R$ 15.609,80"
10,14,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 600,00"
11,16,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 600,00"
12,199,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 3.510,00"
13,554,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 24.370,00"
14,643,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CASSERENGUE,"R$ 37.880,00"
15,515,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 8.620,63"
16,516,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 8.620,63"
17,517,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 8.620,63"
18,518,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CASSERENGUE,"R$ 8.620,63"
