,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,341,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 31.190,80"
1,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.929,80"
2,686,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.929,80"
3,687,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.929,80"
4,688,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.929,80"
5,689,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.929,80"
6,650,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 31.190,80"
7,713,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.589,00"
8,716,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.873,00"
9,717,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATOLÉ DO ROCHA,"R$ 38.873,00"
10,81,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 3.150,00"
11,374,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 28.989,00"
12,422,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 44.270,00"
13,174,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 3.150,00"
14,551,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 24.220,00"
15,743,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 68.490,00"
16,774,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 88.290,00"
17,407,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
18,408,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
19,409,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
20,410,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
21,415,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
22,416,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
23,417,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
24,418,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
25,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,22"
26,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATOLÉ DO ROCHA,"R$ 6.342,26"
27,717,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 384.700,24"
28,763,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 461.799,68"
29,774,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 478.854,38"
30,813,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 612.466,75"
31,733,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 372.364,30"
32,766,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 423.304,60"
33,790,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 483.706,34"
34,806,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 525.075,31"
35,731,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 355.359,84"
36,761,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 401.501,65"
37,768,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 415.389,22"
38,815,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 552.487,78"
39,453,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 64.952,56"
40,454,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 64.952,56"
41,634,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 242.504,26"
42,699,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 64.952,56"
43,700,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 64.952,56"
44,701,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 64.952,56"
45,843,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 145.757,88"
46,406,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 35.104,42"
47,524,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 61.704,93"
48,632,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATOLÉ DO ROCHA,"R$ 139.648,00"
