,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,79,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
1,80,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
2,117,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
3,118,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
4,119,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
5,120,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
6,144,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.939,00"
7,220,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 8.785,00"
8,221,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 8.785,00"
9,504,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 18.015,00"
10,29,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 1.230,00"
11,232,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 13.400,00"
12,264,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 17.010,00"
13,41,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 1.230,00"
14,239,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 4.580,00"
15,405,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 11.340,00"
16,496,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 17.980,00"
17,536,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
18,537,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
19,538,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
20,539,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
21,549,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
22,550,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
23,551,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
24,552,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
25,275,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
26,276,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.072,35"
27,142,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 94.692,95"
28,218,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 113.670,75"
29,235,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 117.868,87"
30,341,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 150.757,06"
31,154,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 91.656,45"
32,204,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 104.195,30"
33,269,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 119.063,02"
34,296,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 129.245,88"
35,156,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 87.470,88"
36,205,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 98.828,57"
37,220,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 102.246,93"
38,345,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 135.993,39"
39,115,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 15.987,90"
40,116,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 15.987,90"
41,437,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 59.897,76"
42,173,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 15.987,90"
43,174,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 15.987,90"
44,175,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 15.987,90"
45,503,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 36.144,55"
46,67,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 8.640,86"
