,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,132,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
1,133,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
2,210,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
3,211,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
4,212,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
5,213,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
6,242,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
7,243,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
8,244,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
9,245,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDADO,"R$ 9.252,60"
10,108,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 4.180,00"
11,193,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 10.090,00"
12,337,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 25.200,00"
13,222,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 4.180,00"
14,311,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 6.900,00"
15,629,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDADO,"R$ 33.790,00"
16,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
17,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
18,212,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
19,213,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
20,218,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
21,219,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
22,220,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
23,221,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
24,108,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,24"
25,109,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDADO,"R$ 3.557,25"
26,257,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDADO,"R$ 127.283,25"
