,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,389,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 56.204,40"
1,399,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 73.884,00"
2,770,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 73.884,00"
3,771,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 73.884,00"
4,772,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 73.884,00"
5,773,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 73.884,00"
6,762,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 56.204,40"
7,765,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 56.763,40"
8,766,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 57.623,40"
9,772,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CONDE,"R$ 61.585,20"
10,148,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 6.370,00"
11,441,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 55.440,00"
12,453,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 65.430,00"
13,292,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 6.370,00"
14,527,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 21.940,00"
15,723,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 62.412,00"
16,799,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CONDE,"R$ 124.330,00"
17,740,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
18,741,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
19,742,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
20,743,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
21,754,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
22,755,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
23,756,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
24,757,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
25,369,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
26,370,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CONDE,"R$ 20.348,38"
27,827,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 692.650,08"
28,848,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 831.467,10"
29,850,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 862.170,24"
30,865,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 1.102.742,14"
31,831,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 670.439,36"
32,843,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 762.156,99"
33,855,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 870.909,90"
34,861,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 945.394,42"
35,829,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 639.822,93"
36,844,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 722.900,99"
37,850,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 747.905,43"
38,864,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 994.750,38"
39,551,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 116.946,61"
40,552,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 116.946,61"
41,654,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 431.677,35"
42,814,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 116.946,61"
43,815,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 116.946,61"
44,816,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 116.946,61"
45,870,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 256.028,56"
46,530,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 63.205,26"
47,609,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 111.099,28"
48,653,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CONDE,"R$ 251.435,21"
49,23,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,CONDE,"R$ 242.100,00"
