,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,220,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
1,221,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
2,380,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
3,381,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
4,382,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
5,383,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
6,407,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
7,408,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),COREMAS,"R$ 14.671,12"
8,153,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 6.850,00"
9,298,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 19.470,00"
10,309,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 6.850,00"
11,351,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 8.472,00"
12,404,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 11.210,00"
13,608,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,COREMAS,"R$ 30.680,00"
14,301,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
15,302,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
16,303,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
17,304,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
18,312,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
19,313,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
20,314,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,COREMAS,"R$ 4.978,43"
21,432,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 190.783,99"
22,514,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 229.019,83"
23,530,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 237.479,85"
24,626,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 303.740,03"
25,445,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 184.666,24"
26,504,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 209.929,05"
27,561,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 239.884,00"
28,601,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 260.400,06"
29,446,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,COREMAS,"R$ 176.233,25"
