,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,284,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 20.169,20"
1,348,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 32.296,00"
2,630,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 32.296,00"
3,631,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 32.296,00"
4,632,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 32.296,00"
5,633,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 32.296,00"
6,532,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 20.169,20"
7,584,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 23.605,60"
8,643,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 30.847,60"
9,644,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CRUZ DO ESPÍRITO SANTO,"R$ 30.847,60"
10,380,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 30.350,00"
11,389,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 33.183,00"
12,412,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 36.960,00"
13,273,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 5.570,00"
14,607,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 30.630,00"
15,777,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 90.750,00"
16,803,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 125.290,00"
17,613,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 11.671,83"
18,614,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 11.671,83"
19,615,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CRUZ DO ESPÍRITO SANTO,"R$ 11.671,83"
