,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,5,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CUITEGI,"R$ 97.751,02"
1,6,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,CUITEGI,"R$ 123.817,98"
2,186,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
3,187,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
4,322,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
5,323,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
6,324,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
7,325,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
8,346,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 11.858,60"
9,368,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 13.108,20"
10,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 13.108,20"
11,524,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUITEGI,"R$ 19.356,20"
12,47,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 1.700,00"
13,170,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 8.070,00"
14,285,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 18.585,00"
15,8,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 495,00"
16,81,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 1.700,00"
17,454,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 15.490,00"
18,544,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUITEGI,"R$ 23.560,00"
19,12,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
20,13,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
21,14,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
22,15,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
23,12,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
24,13,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
25,14,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
26,15,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
27,4,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,44"
28,5,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUITEGI,"R$ 870,54"
29,330,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 146.396,35"
30,404,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 175.736,27"
31,419,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 182.230,71"
32,523,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 233.072,09"
33,339,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 141.701,95"
34,396,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 161.087,11"
35,443,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 184.072,79"
36,487,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 199.815,61"
37,343,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 135.230,98"
38,392,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CUITEGI,"R$ 152.790,06"
