,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,36,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
1,37,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
2,59,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
3,60,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
4,61,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
5,62,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
6,72,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
7,73,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
8,74,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
9,75,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CURRAL VELHO,"R$ 5.146,80"
10,214,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CURRAL VELHO,"R$ 4.020,00"
11,251,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CURRAL VELHO,"R$ 4.880,00"
12,319,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CURRAL VELHO,"R$ 7.310,00"
13,76,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
14,77,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
15,78,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
16,79,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
17,76,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
18,77,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
19,78,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
20,79,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CURRAL VELHO,"R$ 2.143,04"
