,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,126,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
1,127,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
2,201,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
3,202,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
4,203,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
5,204,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
6,226,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
7,227,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
8,228,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
9,229,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DESTERRO,"R$ 9.022,60"
10,64,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DESTERRO,"R$ 1.600,00"
11,65,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DESTERRO,"R$ 1.600,00"
12,477,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DESTERRO,"R$ 16.944,00"
13,591,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DESTERRO,"R$ 29.310,00"
14,592,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DESTERRO,"R$ 29.310,00"
15,471,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 7.200,69"
16,699,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 14.401,38"
17,774,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 28.802,76"
18,795,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 36.003,45"
19,236,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 7.200,63"
20,237,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DESTERRO,"R$ 7.200,69"
21,223,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 115.182,50"
22,300,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 138.266,70"
23,324,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 143.374,87"
24,420,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 183.377,66"
25,235,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 111.489,01"
26,288,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 126.740,93"
27,344,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 144.825,72"
28,384,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DESTERRO,"R$ 157.211,95"
