,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,63,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 6.228,40"
1,103,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 8.070,80"
2,162,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 8.070,80"
3,368,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 14.299,20"
4,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 14.299,20"
5,76,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 5.196,40"
6,185,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 8.070,80"
7,386,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 14.041,20"
8,566,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DIAMANTE,"R$ 22.112,00"
9,90,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 3.410,00"
10,195,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 10.290,00"
11,447,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 57.510,00"
12,190,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 3.410,00"
13,314,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 7.060,00"
14,486,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 17.350,00"
15,711,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DIAMANTE,"R$ 55.434,00"
16,535,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 8.953,72"
17,84,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,43"
18,85,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,43"
19,86,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,43"
20,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,43"
21,42,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,43"
22,43,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DIAMANTE,"R$ 2.238,45"
23,147,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DIAMANTE,"R$ 96.605,86"
24,225,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DIAMANTE,"R$ 115.967,08"
25,241,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DIAMANTE,"R$ 120.255,65"
26,347,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DIAMANTE,"R$ 153.802,56"
