,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,0,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,DONA INÊS,"R$ 9.132,90"
1,292,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 21.246,40"
2,371,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 39.375,80"
3,690,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 39.375,80"
4,691,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 39.375,80"
5,692,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 39.375,80"
6,693,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 39.375,80"
7,559,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 21.246,40"
8,684,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 34.689,80"
9,714,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 38.594,80"
10,715,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 38.594,80"
11,87,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 3.330,00"
12,101,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 3.880,00"
13,268,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 17.190,00"
