,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,345,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
1,346,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
2,625,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
3,626,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
4,627,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
5,628,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
6,656,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
7,657,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
8,658,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
9,659,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),FAGUNDES,"R$ 32.061,80"
10,12,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 750,00"
11,135,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 5.600,00"
12,432,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 49.570,00"
13,18,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 750,00"
14,302,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 6.620,00"
15,368,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 9.640,00"
16,491,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 17.650,00"
17,729,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,FAGUNDES,"R$ 64.440,00"
18,670,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
19,671,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
20,672,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
21,673,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
22,687,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
23,688,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
24,689,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
25,690,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
26,339,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,37"
27,340,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,FAGUNDES,"R$ 14.203,51"
28,573,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 259.963,92"
29,640,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 312.064,40"
30,664,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 323.590,57"
31,740,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 413.878,80"
32,586,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 251.627,86"
33,639,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 286.051,12"
34,686,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 326.868,02"
35,715,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 354.823,39"
36,589,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 240.136,96"
37,626,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 271.317,60"
38,648,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 280.702,24"
39,742,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 373.347,56"
40,351,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 43.892,16"
41,352,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 43.892,16"
42,595,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 165.582,27"
43,567,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 43.892,16"
44,568,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 43.892,16"
45,569,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 43.892,16"
46,784,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 100.708,26"
47,289,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 23.722,06"
48,444,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 41.697,55"
49,588,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,FAGUNDES,"R$ 94.368,14"
50,29,0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA,FAGUNDES,"R$ 249.740,00"
