,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,115,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
1,116,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
2,178,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
3,179,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
4,180,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
5,181,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
6,204,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
7,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
8,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
9,207,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
10,409,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 36.960,00"
11,171,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 3.130,00"
12,172,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 3.130,00"
13,457,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 15.650,00"
14,656,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 40.290,00"
15,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
16,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
17,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
18,63,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
19,59,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
20,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
21,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
22,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
23,30,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
24,31,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,33"
25,212,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 112.266,99"
26,285,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 134.766,94"
27,310,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 139.743,73"
28,411,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 178.736,07"
29,225,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 108.667,00"
30,282,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 123.532,91"
31,337,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 141.159,94"
32,371,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 153.232,64"
33,226,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 103.704,60"
34,275,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 117.170,16"
35,293,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 121.222,97"
36,412,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 161.232,43"
37,152,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
38,153,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
39,469,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 70.426,99"
