,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 9.860,60"
1,335,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.035,60"
2,149,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 7.597,00"
3,607,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.273,60"
4,703,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 43.327,60"
5,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 22.676,60"
6,637,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.316,20"
7,638,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 30.316,20"
8,795,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPORANGA,"R$ 83.479,40"
9,7,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 540,00"
10,226,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 12.708,00"
11,297,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 19.300,00"
12,358,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 27.720,00"
13,11,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 540,00"
14,559,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 25.260,00"
15,744,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 68.600,00"
16,779,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPORANGA,"R$ 91.540,00"
17,529,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
18,530,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
19,743,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 17.685,72"
20,772,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 26.528,58"
21,773,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 26.528,58"
22,269,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,84"
23,270,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPORANGA,"R$ 8.842,86"
24,461,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 201.605,91"
25,543,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPORANGA,"R$ 242.010,62"
