,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,101,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 8.008,80"
1,304,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 23.566,00"
2,555,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 23.566,00"
3,623,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 31.574,80"
4,624,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 31.574,80"
5,583,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 23.566,00"
6,662,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 32.455,20"
7,663,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 32.455,20"
8,802,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITAPOROROCA,"R$ 100.006,80"
9,295,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPOROROCA,"R$ 19.131,00"
10,388,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPOROROCA,"R$ 32.720,00"
11,508,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPOROROCA,"R$ 19.200,00"
12,693,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPOROROCA,"R$ 51.920,00"
13,764,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITAPOROROCA,"R$ 82.686,00"
14,714,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
15,715,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
16,716,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
17,717,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
18,728,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
19,729,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
20,730,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
21,731,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
22,359,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,66"
23,360,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITAPOROROCA,"R$ 15.894,78"
24,615,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 291.698,05"
25,691,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 350.158,53"
26,699,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 363.095,27"
27,766,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 464.401,48"
28,635,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 282.344,34"
29,680,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITAPOROROCA,"R$ 320.969,74"
