,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,319,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 25.700,40"
1,356,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
2,651,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
3,652,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
4,653,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
5,654,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
6,609,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 25.700,40"
7,686,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
8,687,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
9,688,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JACARAÚ,"R$ 35.640,40"
10,8,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 540,00"
11,15,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 900,00"
12,119,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 4.863,00"
13,440,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 54.550,00"
14,12,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 540,00"
15,308,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 6.790,00"
16,400,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 11.110,00"
17,736,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 65.660,00"
18,785,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JACARAÚ,"R$ 95.450,00"
19,736,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
20,737,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
21,738,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
22,739,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
23,750,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
24,751,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JACARAÚ,"R$ 20.319,10"
