,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,293,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAREZ TÁVORA,"R$ 6.380,00"
1,294,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAREZ TÁVORA,"R$ 6.380,00"
2,403,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 174.900,69"
3,476,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 209.953,30"
4,493,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 217.708,72"
5,605,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 278.452,81"
6,412,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 169.292,24"
7,470,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 192.451,86"
8,530,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 219.912,98"
9,560,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 238.721,05"
10,415,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 161.561,32"
11,467,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAREZ TÁVORA,"R$ 182.539,33"
