,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,325,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAZEIRINHO,"R$ 26.514,40"
1,326,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAZEIRINHO,"R$ 26.514,40"
2,589,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAZEIRINHO,"R$ 26.521,60"
3,590,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAZEIRINHO,"R$ 26.536,00"
4,743,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JUAZEIRINHO,"R$ 53.043,20"
5,126,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 5.200,00"
6,377,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 29.630,00"
7,181,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 3.210,00"
8,260,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 5.200,00"
9,395,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 10.770,00"
10,447,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 14.550,00"
11,731,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JUAZEIRINHO,"R$ 64.820,00"
12,800,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JUAZEIRINHO,"R$ 61.683,56"
13,710,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 378.435,79"
14,761,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 454.279,74"
15,770,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 471.058,48"
16,809,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 602.493,34"
17,724,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 366.300,74"
18,760,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 416.411,54"
19,788,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 475.829,69"
20,801,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 516.524,97"
21,726,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 349.573,16"
22,758,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JUAZEIRINHO,"R$ 394.963,61"
