,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,321,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 26.110,40"
1,337,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
2,612,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
3,613,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
4,614,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
5,615,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
6,612,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 26.110,40"
7,640,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
8,641,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
9,642,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 30.583,40"
10,34,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 1.360,00"
11,46,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 1.690,00"
12,368,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 27.720,00"
13,48,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 1.360,00"
14,322,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 7.400,00"
15,715,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 56.500,00"
16,804,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 129.022,00"
17,564,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.626,05"
