,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,378,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 44.579,40"
1,393,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 60.864,60"
2,749,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 60.871,80"
3,750,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 60.871,80"
4,751,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 60.871,80"
5,752,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 60.886,20"
6,740,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 44.586,60"
7,760,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 53.873,40"
8,769,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.630,40"
9,770,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.630,40"
10,103,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 4.030,00"
11,344,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 25.350,00"
12,435,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 51.831,00"
13,215,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 4.030,00"
14,596,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 29.440,00"
15,784,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 94.560,00"
16,816,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 163.972,00"
17,706,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
18,707,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
19,708,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
20,709,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
21,720,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
22,721,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
23,722,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
24,723,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
25,355,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
26,356,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.626,94"
27,785,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 506.098,40"
28,811,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 607.527,77"
