,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,40,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA,"R$ 5.384,80"
1,72,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 2.800,00"
2,89,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 3.400,00"
3,246,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 14.865,00"
4,335,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 25.200,00"
5,151,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 2.800,00"
6,264,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 5.320,00"
7,413,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 11.522,00"
8,585,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA,"R$ 28.570,00"
9,127,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
10,128,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
11,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
12,130,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
13,127,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
14,128,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
15,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
16,130,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
17,63,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,69"
18,64,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA,"R$ 2.744,75"
19,55,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 71.044,08"
20,107,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 85.282,35"
21,125,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 88.434,99"
22,215,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 113.106,64"
23,60,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 68.765,96"
24,94,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 78.173,33"
25,140,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 89.327,94"
26,176,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 96.967,69"
27,63,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 65.625,70"
28,95,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 74.146,89"
29,111,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA,"R$ 76.711,56"
