,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,306,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 23.674,40"
1,358,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.610,60"
2,660,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.610,60"
3,661,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.610,60"
4,662,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.610,60"
5,663,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.610,60"
6,586,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 23.674,40"
7,677,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.969,40"
8,689,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.170,40"
9,690,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 36.170,40"
10,349,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 26.766,00"
11,395,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 33.600,00"
12,402,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 35.560,00"
13,356,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 8.820,00"
14,737,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 66.780,00"
15,760,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 80.157,00"
16,419,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
17,420,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
18,421,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
19,422,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
20,427,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
21,428,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
22,429,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
23,430,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
24,216,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,03"
25,217,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.419,09"
26,632,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 307.250,82"
27,703,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 368.828,24"
28,714,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 382.452,44"
29,777,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 489.162,40"
