,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,78,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 6.937,40"
1,155,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 10.288,60"
2,256,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 10.299,20"
3,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 10.299,20"
4,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 10.299,20"
5,259,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 10.320,40"
6,2,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 284,00"
7,145,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 6.948,00"
8,274,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 9.788,00"
9,483,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MATINHAS,"R$ 16.736,00"
10,85,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 3.240,00"
11,175,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 8.340,00"
12,267,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 17.150,00"
13,184,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 3.240,00"
14,345,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 8.240,00"
15,487,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 17.380,00"
16,561,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MATINHAS,"R$ 25.390,00"
17,309,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
18,310,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
19,311,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
20,312,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
21,319,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
22,320,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
23,321,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
24,322,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
25,160,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
26,161,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MATINHAS,"R$ 5.029,36"
27,141,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 94.622,51"
28,217,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 113.586,21"
29,233,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 117.781,74"
30,340,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 150.644,90"
31,153,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 91.588,31"
32,203,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 104.117,76"
33,267,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 118.974,46"
34,295,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 129.149,72"
35,155,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 87.405,83"
36,203,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 98.755,06"
37,219,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 102.170,87"
38,344,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 135.892,22"
39,113,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.976,00"
40,114,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.976,00"
41,440,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 60.544,39"
42,170,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.976,00"
43,171,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.976,00"
44,172,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.976,00"
45,513,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 37.012,42"
46,66,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 8.634,44"
47,173,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 15.177,20"
48,398,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MATINHAS,"R$ 34.348,40"
49,78,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,MATINHAS,"R$ 53.380,00"
