,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,281,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 19.582,60"
1,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.738,40"
2,681,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.738,40"
3,682,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.738,40"
4,683,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.738,40"
5,684,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.738,40"
6,525,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 19.582,60"
7,704,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 37.801,20"
8,711,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.582,20"
9,712,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MOGEIRO,"R$ 38.582,20"
10,86,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 3.250,00"
11,252,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 16.227,00"
12,295,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.390,00"
13,296,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 6.390,00"
14,633,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 35.950,00"
15,752,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 73.152,00"
16,806,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MOGEIRO,"R$ 129.978,00"
17,698,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 15.269,30"
18,699,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 15.269,30"
19,700,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 15.269,30"
20,701,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MOGEIRO,"R$ 15.269,30"
21,591,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MOGEIRO,"R$ 268.862,07"
22,662,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MOGEIRO,"R$ 322.745,86"
23,677,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MOGEIRO,"R$ 334.670,89"
24,751,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MOGEIRO,"R$ 428.045,17"
