,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,355,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 35.379,20"
1,383,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
2,338,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 12.410,80"
3,727,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
4,728,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
5,729,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
6,685,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 35.379,20"
7,751,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
8,752,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 47.790,00"
9,794,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 83.169,20"
10,173,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 8.100,00"
11,423,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 45.090,00"
12,437,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 52.080,00"
13,111,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 2.080,00"
14,569,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 26.260,00"
15,782,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 93.452,00"
16,789,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 100.180,00"
17,756,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 24.153,86"
18,757,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 24.153,86"
19,758,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 24.153,86"
