,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,53,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
1,54,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
2,85,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
3,86,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
4,87,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
5,88,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
6,103,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
7,104,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
8,105,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
9,106,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MÃE Dágua,"R$ 5.850,00"
10,61,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 2.380,00"
11,205,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 10.870,00"
12,283,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 18.480,00"
13,70,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 1.620,00"
14,95,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 1.870,00"
15,124,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 2.380,00"
16,558,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MÃE Dágua,"R$ 25.060,00"
17,103,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
18,104,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
19,105,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
20,106,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
21,105,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
22,106,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
23,107,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
24,108,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
25,53,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,20"
26,54,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MÃE Dágua,"R$ 2.558,28"
27,83,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 80.207,74"
28,145,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 96.282,55"
29,158,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 99.838,70"
30,261,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 127.695,72"
31,91,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 77.635,78"
32,135,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 88.256,55"
33,191,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 100.849,95"
34,227,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 109.475,12"
35,94,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 74.090,45"
36,139,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MÃE Dágua,"R$ 83.710,75"
