,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,165,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
1,166,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
2,283,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
3,284,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
4,285,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
5,286,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
6,306,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
7,307,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
8,308,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
9,309,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA OLINDA,"R$ 10.819,60"
10,3,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 360,00"
11,266,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 17.120,00"
12,6,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 360,00"
13,352,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 8.586,00"
14,390,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 10.630,00"
15,578,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 27.750,00"
16,342,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
17,343,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
18,344,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
19,345,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
20,350,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
21,351,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
22,352,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
23,353,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
24,176,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
25,177,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NOVA OLINDA,"R$ 5.381,66"
26,236,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 117.897,43"
27,317,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 141.525,77"
28,332,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 146.754,20"
29,427,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 187.700,03"
30,247,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 114.116,89"
31,299,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 129.728,37"
32,355,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 148.239,40"
33,395,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 160.917,57"
34,246,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 108.905,61"
35,300,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 123.046,51"
36,319,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 127.302,55"
37,430,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 169.318,55"
38,168,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 19.905,73"
39,169,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 19.905,73"
40,489,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 76.614,75"
41,257,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 19.905,73"
42,258,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 19.905,73"
43,259,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 19.905,73"
44,606,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 47.641,30"
45,107,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 10.758,30"
46,236,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 18.910,45"
47,454,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA OLINDA,"R$ 42.797,33"
48,3,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,NOVA OLINDA,"R$ 15.291,37"
49,51,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,NOVA OLINDA,"R$ 30.715,02"
