,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,57,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
1,58,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
2,89,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
3,90,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
4,91,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
5,92,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
6,110,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
7,111,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
8,112,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
9,113,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA PALMEIRA,"R$ 6.118,40"
10,48,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 1.710,00"
11,137,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 5.650,00"
12,332,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 25.200,00"
13,83,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 1.710,00"
14,240,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 4.590,00"
15,575,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA PALMEIRA,"R$ 27.040,00"
