,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,75,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 6.823,60"
1,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.550,00"
2,227,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.557,20"
3,228,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.557,20"
4,229,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.557,20"
5,230,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.571,60"
6,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 6.830,80"
7,259,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.571,40"
8,260,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.571,40"
9,264,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),OLIVEDOS,"R$ 9.642,40"
10,93,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 3.490,00"
11,237,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 13.690,00"
12,323,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 24.228,00"
13,90,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 1.830,00"
14,198,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 3.490,00"
15,455,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 15.520,00"
16,542,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,OLIVEDOS,"R$ 23.314,00"
17,149,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
18,150,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
19,151,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
20,152,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
21,153,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
22,154,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
23,155,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
24,156,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
25,75,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,59"
26,76,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,OLIVEDOS,"R$ 2.915,67"
27,102,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 83.638,03"
28,160,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 100.400,30"
29,181,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 104.109,30"
30,278,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 133.156,95"
31,110,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 80.956,06"
32,157,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 92.031,06"
33,208,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 105.163,02"
34,248,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 114.157,10"
35,116,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 77.259,09"
36,154,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 87.290,87"
37,174,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 90.310,16"
38,288,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 120.116,86"
39,89,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 14.121,39"
40,90,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 14.121,39"
41,415,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 54.225,55"
42,134,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 14.121,39"
43,135,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 14.121,39"
44,136,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 14.121,39"
45,470,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 33.634,29"
46,50,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 7.632,08"
47,153,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 13.415,32"
48,360,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,OLIVEDOS,"R$ 30.360,99"
