,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,100,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.951,20"
1,131,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
2,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
3,207,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
4,208,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
5,209,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
6,182,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 7.951,20"
7,239,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
8,240,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
9,241,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PASSAGEM,"R$ 9.229,20"
10,20,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 1.080,00"
11,152,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 6.830,00"
12,354,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 27.720,00"
13,28,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 1.080,00"
14,74,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 1.650,00"
15,370,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 9.666,00"
16,574,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 26.960,00"
17,84,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
18,85,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
19,86,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
20,87,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
21,88,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
22,89,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
23,90,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
24,91,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 2.240,64"
25,148,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PASSAGEM,"R$ 4.481,32"
26,32,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 61.240,97"
27,65,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 73.514,55"
28,73,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 76.228,92"
29,152,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 97.499,47"
30,32,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 59.277,22"
31,57,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 67.386,47"
32,89,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 77.001,90"
33,124,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 83.587,50"
34,36,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 56.570,24"
35,58,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 63.915,64"
36,66,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 66.126,42"
37,159,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 87.951,35"
38,32,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 10.339,89"
39,33,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 10.339,89"
40,321,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 37.816,50"
41,49,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 10.339,89"
42,50,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 10.339,89"
43,51,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 10.339,89"
44,285,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 22.183,22"
45,18,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 5.588,32"
46,87,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 9.822,89"
47,273,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PASSAGEM,"R$ 22.230,76"
48,44,12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES,PASSAGEM,"R$ 40.798,11"
49,67,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,PASSAGEM,"R$ 41.087,00"
