,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,402,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 87.851,20"
1,411,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 167.342,80"
2,799,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 167.350,00"
3,800,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 167.350,00"
4,801,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 167.350,00"
5,802,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 167.364,40"
6,796,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 87.858,40"
7,811,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 158.830,00"
8,812,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 165.930,00"
9,813,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PATOS,"R$ 165.930,00"
10,96,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 3.740,00"
11,465,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 85.680,00"
12,468,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 103.860,00"
13,476,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 206.725,00"
14,206,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 3.740,00"
15,552,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 24.280,00"
16,750,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 71.690,00"
17,832,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 247.360,00"
18,842,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PATOS,"R$ 534.881,00"
19,351,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
20,352,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
21,353,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
22,354,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
23,362,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
24,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
25,364,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
26,365,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
27,182,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,82"
28,183,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PATOS,"R$ 5.504,84"
29,864,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.083.500,99"
30,873,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.300.650,11"
31,874,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.348.693,92"
32,878,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.725.001,13"
33,868,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.048.757,08"
34,871,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.192.229,44"
35,874,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.362.349,82"
36,877,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.478.864,70"
37,865,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.000.864,32"
38,871,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.130.821,95"
39,874,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.169.935,96"
40,878,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 1.556.071,41"
41,611,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 182.937,63"
42,612,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 182.937,63"
43,662,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 695.586,06"
44,858,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 182.937,63"
45,859,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 182.937,63"
46,860,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 182.937,63"
47,881,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 426.805,63"
48,599,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 98.870,92"
49,643,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 173.790,75"
50,661,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PATOS,"R$ 393.315,91"
51,33,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,PATOS,"R$ 168.978,99"
52,34,12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL,PATOS,"R$ 168.978,99"
