,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,268,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 17.860,20"
1,315,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
2,572,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
3,573,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
4,574,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
5,575,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
6,499,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 17.860,20"
7,601,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
8,602,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
9,603,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 24.605,20"
10,91,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 3.470,00"
11,274,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 18.396,00"
12,345,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 25.400,00"
13,413,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 36.960,00"
14,195,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 3.470,00"
15,200,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 3.560,00"
16,255,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 5.040,00"
17,687,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 49.314,00"
18,709,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 55.080,00"
19,637,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
20,638,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
21,639,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
22,640,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
23,654,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
24,655,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
25,656,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
26,657,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
27,325,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,00"
28,326,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.450,02"
29,539,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PAULISTA,"R$ 239.664,10"
30,613,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PAULISTA,"R$ 287.696,20"
