,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,66,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 6.403,40"
1,117,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.618,60"
2,182,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.618,60"
3,183,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.618,60"
4,184,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.618,60"
5,185,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.618,60"
6,125,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 6.403,40"
7,183,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.022,20"
8,208,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.519,20"
9,209,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRA BRANCA,"R$ 8.519,20"
10,10,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 600,00"
11,222,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 12.400,00"
12,315,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 22.464,00"
13,359,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 27.720,00"
14,15,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 600,00"
15,297,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 6.440,00"
16,511,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 19.692,00"
17,639,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRA BRANCA,"R$ 37.320,00"
18,222,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
19,223,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
20,224,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
21,225,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
22,230,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
23,231,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
24,232,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
25,233,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
26,114,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,78"
27,115,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRA BRANCA,"R$ 3.703,92"
28,117,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 87.220,05"
29,183,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 104.700,19"
30,201,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 108.565,77"
31,306,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 138.859,74"
32,126,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 84.423,25"
33,175,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 95.972,48"
34,228,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 109.666,92"
35,268,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 119.046,16"
36,131,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 80.567,92"
37,175,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 91.029,28"
38,190,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 94.177,90"
39,312,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 125.261,17"
40,105,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 14.726,18"
41,106,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 14.726,18"
42,407,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 53.540,42"
43,158,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 14.726,18"
44,159,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 14.726,18"
45,160,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 14.726,18"
46,418,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 31.181,63"
47,60,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRA BRANCA,"R$ 7.958,94"
