,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,396,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 64.652,00"
1,401,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.762,40"
2,778,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.762,40"
3,779,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.762,40"
4,780,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.762,40"
5,781,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.762,40"
6,781,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 64.652,00"
7,789,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.421,60"
8,790,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.705,60"
9,791,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRAS DE FOGO,"R$ 74.705,60"
10,396,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 33.600,00"
11,400,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 34.590,00"
12,466,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 94.896,00"
13,735,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 65.610,00"
14,800,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 124.870,00"
15,822,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 177.624,00"
16,776,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
17,777,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
18,778,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
19,779,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
20,790,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
21,791,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
22,792,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
23,793,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
24,388,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,81"
25,389,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRAS DE FOGO,"R$ 32.430,85"
26,829,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 711.340,48"
27,849,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 853.903,31"
28,851,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 885.438,16"
29,866,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.132.498,39"
30,834,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 688.530,39"
31,847,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 782.722,98"
32,858,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 894.410,41"
33,863,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 970.904,84"
34,833,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 657.087,85"
35,848,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 742.407,66"
36,851,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 768.086,82"
37,866,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 1.021.592,61"
38,555,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 120.102,29"
39,556,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PEDRAS DE FOGO,"R$ 120.102,29"
