,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,110,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
1,111,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
2,173,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
3,174,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
4,175,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
5,176,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
6,199,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
7,200,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
8,201,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
9,202,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PEDRO RÉGIS,"R$ 8.323,20"
10,32,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 1.330,00"
11,198,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 10.360,00"
12,46,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 1.330,00"
13,245,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.730,00"
14,300,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 6.558,00"
15,315,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 7.120,00"
16,728,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PEDRO RÉGIS,"R$ 64.210,00"
17,246,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
18,247,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
19,248,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
20,249,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
21,254,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
22,255,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
23,256,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PEDRO RÉGIS,"R$ 4.015,79"
