,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,307,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 23.725,60"
1,334,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
2,601,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
3,602,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
4,603,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
5,604,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
6,587,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 23.725,60"
7,631,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
8,632,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
9,633,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PIANCÓ,"R$ 29.419,80"
10,35,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 1.360,00"
11,234,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 13.480,00"
12,241,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 14.454,00"
13,49,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 1.360,00"
14,333,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 7.740,00"
15,482,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 17.190,00"
16,645,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 38.410,00"
17,740,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PIANCÓ,"R$ 67.410,00"
18,556,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
19,557,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
20,558,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
21,559,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
22,570,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
23,571,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
24,572,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PIANCÓ,"R$ 9.769,33"
25,485,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 214.389,51"
26,569,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 257.356,24"
27,588,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 266.860,84"
28,685,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 341.321,45"
29,499,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 207.514,81"
30,555,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 235.903,32"
31,619,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 269.564,59"
32,651,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 292.619,08"
33,499,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 198.038,40"
34,562,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 223.752,78"
35,574,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 231.492,14"
36,687,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 307.895,77"
37,311,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 36.197,39"
38,312,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 36.197,39"
39,580,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 135.404,83"
40,504,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 36.197,39"
41,505,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PIANCÓ,"R$ 36.197,39"
