,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,13,00OW - APOIO A MANUTENCAO DA EDUCACAO INFANTIL,PILAR,"R$ 292.252,80"
1,329,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
2,330,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
3,595,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
4,596,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
5,597,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
6,598,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
7,625,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
8,626,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
9,627,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
10,628,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.714,80"
11,309,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 21.465,00"
12,321,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 24.040,00"
13,378,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 10.120,00"
14,564,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 25.470,00"
15,688,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 49.510,00"
16,720,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 60.084,00"
17,273,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
18,274,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
19,275,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
20,276,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
21,279,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
22,280,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
23,281,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
24,282,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
25,139,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
26,140,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILAR,"R$ 4.280,77"
