,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,89,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
1,90,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
2,139,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
3,140,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
4,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
5,142,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
6,162,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
7,163,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
8,164,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
9,165,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILÕEZINHOS,"R$ 7.192,40"
10,120,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 4.890,00"
11,275,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 18.400,00"
12,27,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 1.080,00"
13,232,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 4.410,00"
14,272,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 5.562,00"
15,539,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILÕEZINHOS,"R$ 22.810,00"
16,169,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
17,170,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
18,171,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
19,172,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
20,173,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
21,174,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
22,175,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
23,176,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PILÕEZINHOS,"R$ 3.179,00"
