,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,364,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 37.749,20"
1,388,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 51.296,00"
2,738,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 51.296,00"
3,739,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 51.296,00"
4,740,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 51.296,00"
5,741,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 51.296,00"
6,701,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 37.749,20"
7,747,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 46.610,00"
8,756,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 50.515,00"
9,757,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PITIMBU,"R$ 50.515,00"
10,271,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PITIMBU,"R$ 17.754,00"
11,448,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PITIMBU,"R$ 14.730,00"
12,464,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PITIMBU,"R$ 16.110,00"
13,722,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PITIMBU,"R$ 62.380,00"
14,826,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PITIMBU,"R$ 198.829,00"
15,527,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 8.797,83"
16,528,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 8.797,83"
17,731,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 17.595,66"
18,538,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 8.797,83"
19,539,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 8.797,83"
20,540,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PITIMBU,"R$ 8.797,83"
21,707,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PITIMBU,"R$ 372.090,05"
22,758,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PITIMBU,"R$ 446.662,21"
